year,name,n
2018,Sooyeon Oh,11
2019,Sooyeon Oh,11
2020,Sooyeon Oh,11
2021,Sooyeon Oh,11
2022,Sooyeon Oh,11
2003,Walaiporn Nakapan,1
2004,Walaiporn Nakapan,2
2005,Walaiporn Nakapan,2
2006,Walaiporn Nakapan,2
2007,Walaiporn Nakapan,2
2008,Walaiporn Nakapan,3
2009,Walaiporn Nakapan,5
2010,Walaiporn Nakapan,5
2011,Walaiporn Nakapan,6
2012,Walaiporn Nakapan,7
2013,Walaiporn Nakapan,7
2014,Walaiporn Nakapan,8
2015,Walaiporn Nakapan,9
2016,Walaiporn Nakapan,10
2017,Walaiporn Nakapan,11
2018,Walaiporn Nakapan,11
2019,Walaiporn Nakapan,11
2020,Walaiporn Nakapan,11
2021,Walaiporn Nakapan,11
2022,Walaiporn Nakapan,11
2014,Ziyu Tong,2
2015,Ziyu Tong,3
2016,Ziyu Tong,4
2017,Ziyu Tong,5
2018,Ziyu Tong,5
2019,Ziyu Tong,5
2020,Ziyu Tong,8
2021,Ziyu Tong,10
2022,Ziyu Tong,11
1996,Jin-Yeu Tsou,1
1997,Jin-Yeu Tsou,1
1998,Jin-Yeu Tsou,2
1999,Jin-Yeu Tsou,3
2000,Jin-Yeu Tsou,4
2001,Jin-Yeu Tsou,5
2002,Jin-Yeu Tsou,7
2003,Jin-Yeu Tsou,8
2004,Jin-Yeu Tsou,8
2005,Jin-Yeu Tsou,9
2006,Jin-Yeu Tsou,10
2007,Jin-Yeu Tsou,10
2008,Jin-Yeu Tsou,10
2009,Jin-Yeu Tsou,10
2010,Jin-Yeu Tsou,10
2011,Jin-Yeu Tsou,10
2012,Jin-Yeu Tsou,10
2013,Jin-Yeu Tsou,10
2014,Jin-Yeu Tsou,10
2015,Jin-Yeu Tsou,10
2016,Jin-Yeu Tsou,10
2017,Jin-Yeu Tsou,10
2018,Jin-Yeu Tsou,10
2019,Jin-Yeu Tsou,10
2020,Jin-Yeu Tsou,10
2021,Jin-Yeu Tsou,10
2022,Jin-Yeu Tsou,10
1998,Ju-Hung Lan,1
1999,Ju-Hung Lan,1
2000,Ju-Hung Lan,1
2001,Ju-Hung Lan,2
2002,Ju-Hung Lan,2
2003,Ju-Hung Lan,2
2004,Ju-Hung Lan,3
2005,Ju-Hung Lan,5
2006,Ju-Hung Lan,7
2007,Ju-Hung Lan,8
2008,Ju-Hung Lan,10
2009,Ju-Hung Lan,10
2010,Ju-Hung Lan,10
2011,Ju-Hung Lan,10
2012,Ju-Hung Lan,10
2013,Ju-Hung Lan,10
2014,Ju-Hung Lan,10
2015,Ju-Hung Lan,10
2016,Ju-Hung Lan,10
2017,Ju-Hung Lan,10
2018,Ju-Hung Lan,10
2019,Ju-Hung Lan,10
2020,Ju-Hung Lan,10
2021,Ju-Hung Lan,10
2022,Ju-Hung Lan,10
2000,Beng-Kiang Tan,1
2001,Beng-Kiang Tan,1
2002,Beng-Kiang Tan,1
2003,Beng-Kiang Tan,1
2004,Beng-Kiang Tan,2
2005,Beng-Kiang Tan,2
2006,Beng-Kiang Tan,2
2007,Beng-Kiang Tan,3
2008,Beng-Kiang Tan,4
2009,Beng-Kiang Tan,5
2010,Beng-Kiang Tan,8
2011,Beng-Kiang Tan,10
2012,Beng-Kiang Tan,10
2013,Beng-Kiang Tan,10
2014,Beng-Kiang Tan,10
2015,Beng-Kiang Tan,10
2016,Beng-Kiang Tan,10
2017,Beng-Kiang Tan,10
2018,Beng-Kiang Tan,10
2019,Beng-Kiang Tan,10
2020,Beng-Kiang Tan,10
2021,Beng-Kiang Tan,10
2022,Beng-Kiang Tan,10
2001,Hyun Soo Lee,2
2002,Hyun Soo Lee,2
2003,Hyun Soo Lee,2
2004,Hyun Soo Lee,4
2005,Hyun Soo Lee,4
2006,Hyun Soo Lee,4
2007,Hyun Soo Lee,4
2008,Hyun Soo Lee,5
2009,Hyun Soo Lee,5
2010,Hyun Soo Lee,5
2011,Hyun Soo Lee,5
2012,Hyun Soo Lee,5
2013,Hyun Soo Lee,5
2014,Hyun Soo Lee,9
2015,Hyun Soo Lee,10
2016,Hyun Soo Lee,10
2017,Hyun Soo Lee,10
2018,Hyun Soo Lee,10
2019,Hyun Soo Lee,10
2020,Hyun Soo Lee,10
2021,Hyun Soo Lee,10
2022,Hyun Soo Lee,10
2002,Christiane Marger Herr,1
2003,Christiane Marger Herr,1
2004,Christiane Marger Herr,2
2005,Christiane Marger Herr,2
2006,Christiane Marger Herr,2
2007,Christiane Marger Herr,3
2008,Christiane Marger Herr,4
2009,Christiane Marger Herr,5
2010,Christiane Marger Herr,6
2011,Christiane Marger Herr,7
2012,Christiane Marger Herr,8
2013,Christiane Marger Herr,8
2014,Christiane Marger Herr,9
2015,Christiane Marger Herr,10
2016,Christiane Marger Herr,10
2017,Christiane Marger Herr,10
2018,Christiane Marger Herr,10
2019,Christiane Marger Herr,10
2020,Christiane Marger Herr,10
2021,Christiane Marger Herr,10
2022,Christiane Marger Herr,10
2002,Chor-Kheng Lim,1
2003,Chor-Kheng Lim,1
2004,Chor-Kheng Lim,2
2005,Chor-Kheng Lim,4
2006,Chor-Kheng Lim,6
2007,Chor-Kheng Lim,6
2008,Chor-Kheng Lim,6
2009,Chor-Kheng Lim,7
2010,Chor-Kheng Lim,7
2011,Chor-Kheng Lim,7
2012,Chor-Kheng Lim,7
2013,Chor-Kheng Lim,7
2014,Chor-Kheng Lim,8
2015,Chor-Kheng Lim,8
2016,Chor-Kheng Lim,8
2017,Chor-Kheng Lim,8
2018,Chor-Kheng Lim,8
2019,Chor-Kheng Lim,8
2020,Chor-Kheng Lim,8
2021,Chor-Kheng Lim,9
2022,Chor-Kheng Lim,10
2004,Tsung-Hsien Wang,2
2005,Tsung-Hsien Wang,2
2006,Tsung-Hsien Wang,2
2007,Tsung-Hsien Wang,2
2008,Tsung-Hsien Wang,3
2009,Tsung-Hsien Wang,5
2010,Tsung-Hsien Wang,5
2011,Tsung-Hsien Wang,5
2012,Tsung-Hsien Wang,6
2013,Tsung-Hsien Wang,7
2014,Tsung-Hsien Wang,7
2015,Tsung-Hsien Wang,8
2016,Tsung-Hsien Wang,8
2017,Tsung-Hsien Wang,8
2018,Tsung-Hsien Wang,8
2019,Tsung-Hsien Wang,9
2020,Tsung-Hsien Wang,9
2021,Tsung-Hsien Wang,9
2022,Tsung-Hsien Wang,10
2006,Wei Yan,1
2007,Wei Yan,2
2008,Wei Yan,2
2009,Wei Yan,2
2010,Wei Yan,2
2011,Wei Yan,2
2012,Wei Yan,2
2013,Wei Yan,3
2014,Wei Yan,3
2015,Wei Yan,6
2016,Wei Yan,6
2017,Wei Yan,7
2018,Wei Yan,8
2019,Wei Yan,9
2020,Wei Yan,9
2021,Wei Yan,9
2022,Wei Yan,10
2007,Biao Li,1
2008,Biao Li,2
2009,Biao Li,4
2010,Biao Li,4
2011,Biao Li,5
2012,Biao Li,5
2013,Biao Li,5
2014,Biao Li,5
2015,Biao Li,5
2016,Biao Li,5
2017,Biao Li,5
2018,Biao Li,5
2019,Biao Li,8
2020,Biao Li,8
2021,Biao Li,9
2022,Biao Li,10
2011,Weiguo Xu,1
2012,Weiguo Xu,2
2013,Weiguo Xu,2
2014,Weiguo Xu,2
2015,Weiguo Xu,3
2016,Weiguo Xu,3
2017,Weiguo Xu,5
2018,Weiguo Xu,8
2019,Weiguo Xu,10
2020,Weiguo Xu,10
2021,Weiguo Xu,10
2022,Weiguo Xu,10
2013,Dagmar Reinhardt,2
2014,Dagmar Reinhardt,2
2015,Dagmar Reinhardt,2
2016,Dagmar Reinhardt,2
2017,Dagmar Reinhardt,4
2018,Dagmar Reinhardt,7
2019,Dagmar Reinhardt,7
2020,Dagmar Reinhardt,7
2021,Dagmar Reinhardt,7
2022,Dagmar Reinhardt,10
