year,name,n
2014,Atsuko Kaga,0.006635334
2015,Atsuko Kaga,0.006072567
2016,Atsuko Kaga,0.005586022
2017,Atsuko Kaga,0.004858723
2018,Atsuko Kaga,0.004210859
2019,Atsuko Kaga,0.003476718
2020,Atsuko Kaga,0.003018623
2021,Atsuko Kaga,0.008237065
2022,Atsuko Kaga,0.008183995
1996,Tsuyoshi Sasada,0.042328042
1997,Tsuyoshi Sasada,0.00952381
1998,Tsuyoshi Sasada,0.011897095
1999,Tsuyoshi Sasada,0.024877247
2000,Tsuyoshi Sasada,0.014360209
2001,Tsuyoshi Sasada,0.01664416
2002,Tsuyoshi Sasada,0.017466217
2003,Tsuyoshi Sasada,0.020027336
2004,Tsuyoshi Sasada,0.048955792
2005,Tsuyoshi Sasada,0.039729508
2006,Tsuyoshi Sasada,0.048942382
2007,Tsuyoshi Sasada,0.044102617
2008,Tsuyoshi Sasada,0.041896887
2009,Tsuyoshi Sasada,0.049577769
2010,Tsuyoshi Sasada,0.06757504
2011,Tsuyoshi Sasada,0.07542892
2012,Tsuyoshi Sasada,0.07344889
2013,Tsuyoshi Sasada,0.068546472
2014,Tsuyoshi Sasada,0.0628978
2015,Tsuyoshi Sasada,0.060555035
2016,Tsuyoshi Sasada,0.061642049
2017,Tsuyoshi Sasada,0.056251367
2018,Tsuyoshi Sasada,0.051686005
2019,Tsuyoshi Sasada,0.044808043
2020,Tsuyoshi Sasada,0.041403651
2021,Tsuyoshi Sasada,0.013970151
2022,Tsuyoshi Sasada,0.013545802
2018,Philip F. Yuan,3.11089E-05
2019,Philip F. Yuan,6.46841E-05
2020,Philip F. Yuan,9.75927E-05
2021,Philip F. Yuan,0.005264447
2022,Philip F. Yuan,0.026349883
2001,Ning Gu,2.11515E-05
2002,Ning Gu,1.60049E-05
2003,Ning Gu,1.09949E-05
2004,Ning Gu,8.17896E-06
2005,Ning Gu,6.03865E-06
2006,Ning Gu,4.29363E-06
2007,Ning Gu,1.6204E-05
2008,Ning Gu,0.003725425
2009,Ning Gu,0.016735066
2010,Ning Gu,0.0588616
2011,Ning Gu,0.0090196
2012,Ning Gu,0.008556719
2013,Ning Gu,0.011105534
2014,Ning Gu,0.025646418
2015,Ning Gu,0.01839343
2016,Ning Gu,0.018741258
2017,Ning Gu,0.020350845
2018,Ning Gu,0.019157409
2019,Ning Gu,0.02487938
2020,Ning Gu,0.022784508
2021,Ning Gu,0.023533592
2022,Ning Gu,0.03640218
2011,Nobuyoshi Yabuki,2.79243E-06
2012,Nobuyoshi Yabuki,2.7002E-05
2013,Nobuyoshi Yabuki,2.45921E-05
2014,Nobuyoshi Yabuki,1.96295E-05
2015,Nobuyoshi Yabuki,1.59033E-05
2016,Nobuyoshi Yabuki,3.61944E-05
2017,Nobuyoshi Yabuki,3.93278E-05
2018,Nobuyoshi Yabuki,4.74844E-05
2019,Nobuyoshi Yabuki,4.45518E-05
2020,Nobuyoshi Yabuki,4.45498E-05
2021,Nobuyoshi Yabuki,4.42518E-05
2022,Nobuyoshi Yabuki,4.5814E-05
2010,Jane Burry,0.000707933
2011,Jane Burry,0.00135473
2012,Jane Burry,0.004316363
2013,Jane Burry,0.004721756
2014,Jane Burry,0.005181962
2015,Jane Burry,0.009110533
2016,Jane Burry,0.015881037
2017,Jane Burry,0.031413471
2018,Jane Burry,0.034399546
2019,Jane Burry,0.03384454
2020,Jane Burry,0.031403431
2021,Jane Burry,0.068164248
2022,Jane Burry,0.087189122
2014,Tane Jacob Moleta,5.4026E-07
2015,Tane Jacob Moleta,6.26494E-06
2016,Tane Jacob Moleta,0.004629517
2017,Tane Jacob Moleta,0.004228702
2018,Tane Jacob Moleta,0.00563623
2019,Tane Jacob Moleta,0.00432108
2020,Tane Jacob Moleta,0.005392079
2021,Tane Jacob Moleta,0.007921204
2022,Tane Jacob Moleta,0.008291168
2001,Yu-Tung Liu,0.0122289
2002,Yu-Tung Liu,0.020194042
2003,Yu-Tung Liu,0.016150804
2004,Yu-Tung Liu,0.025041166
2005,Yu-Tung Liu,0.022892443
2006,Yu-Tung Liu,0.030957064
2007,Yu-Tung Liu,0.026512316
2008,Yu-Tung Liu,0.030946611
2009,Yu-Tung Liu,0.034145305
2010,Yu-Tung Liu,0.045581444
2011,Yu-Tung Liu,0.047055502
2012,Yu-Tung Liu,0.04523144
2013,Yu-Tung Liu,0.040826655
2014,Yu-Tung Liu,0.036179864
2015,Yu-Tung Liu,0.034061926
2016,Yu-Tung Liu,0.034243707
2017,Yu-Tung Liu,0.031551376
2018,Yu-Tung Liu,0.029594778
2019,Yu-Tung Liu,0.028257751
2020,Yu-Tung Liu,0.027211194
2021,Yu-Tung Liu,0.057033742
2022,Yu-Tung Liu,0.059807402
1997,Riken Homma,0.001587302
1998,Riken Homma,0.002656795
1999,Riken Homma,0.008861806
2000,Riken Homma,0.007909869
2001,Riken Homma,0.003260616
2002,Riken Homma,0.002388737
2003,Riken Homma,0.001786714
2004,Riken Homma,0.001872559
2005,Riken Homma,0.001643457
2006,Riken Homma,0.005227824
2007,Riken Homma,0.004250017
2008,Riken Homma,0.003870015
2009,Riken Homma,0.004005589
2010,Riken Homma,0.004736935
2011,Riken Homma,0.002886911
2012,Riken Homma,0.002700986
2013,Riken Homma,0.002388815
2014,Riken Homma,0.002157602
2015,Riken Homma,0.001933375
2016,Riken Homma,0.001813162
2017,Riken Homma,0.001629818
2018,Riken Homma,0.001451055
2019,Riken Homma,0.001232522
2020,Riken Homma,0.001101783
2021,Riken Homma,0.001240436
2022,Riken Homma,0.001215534
2000,Thomas Fischer,0.002200946
2001,Thomas Fischer,0.001522907
2002,Thomas Fischer,0.003457051
2003,Thomas Fischer,0.002990621
2004,Thomas Fischer,0.0024162
2005,Thomas Fischer,0.002318841
2006,Thomas Fischer,0.001829088
2007,Thomas Fischer,0.001590455
2008,Thomas Fischer,0.00130791
2009,Thomas Fischer,0.001210604
2010,Thomas Fischer,0.00452275
2011,Thomas Fischer,0.004854996
2012,Thomas Fischer,0.0046571
2013,Thomas Fischer,0.004364088
2014,Thomas Fischer,0.003786609
2015,Thomas Fischer,0.003551366
2016,Thomas Fischer,0.003927023
2017,Thomas Fischer,0.004147281
2018,Thomas Fischer,0.008709952
2019,Thomas Fischer,0.007809262
2020,Thomas Fischer,0.007845767
2021,Thomas Fischer,0.016290974
2022,Thomas Fischer,0.026010313
2005,Rudi Stouffs,1.20773E-05
2006,Rudi Stouffs,8.58727E-06
2007,Rudi Stouffs,7.04521E-06
2008,Rudi Stouffs,5.73017E-06
2009,Rudi Stouffs,4.85699E-06
2010,Rudi Stouffs,4.29987E-06
2011,Rudi Stouffs,3.72324E-06
2012,Rudi Stouffs,0.004961829
2013,Rudi Stouffs,0.005888564
2014,Rudi Stouffs,0.003814237
2015,Rudi Stouffs,0.003446314
2016,Rudi Stouffs,0.00547031
2017,Rudi Stouffs,0.004933694
