source,target
caadria2022_100,SDG 9
caadria2022_100,Calibrating
caadria2022_100,Computational Design
caadria2022_100,Form-Finding
caadria2022_100,Optimization
caadria2022_100,Tensioned Knitted Textiles
caadria2022_102,SDG 9
caadria2022_102,SDG 11
caadria2022_102,Architectural Visualization
caadria2022_102,Browser Based Modeling
caadria2022_102,Digital Cultural Heritage
caadria2022_102,glTF File
caadria2022_102,Shoei Yoh
caadria2022_112,SDG 9
caadria2022_112,SDG 12
caadria2022_112,Free-Form Concrete
caadria2022_112,Reusable Formwork
caadria2022_112,Robotic Fabrication
caadria2022_112,Topology Optimization
caadria2022_114,SDG 11
caadria2022_114,Big Data Analysis
caadria2022_114,Correlation Analysis
caadria2022_114,Deep Learning
caadria2022_114,Generative Adversarial Networks
caadria2022_114,Romance Heatmap
caadria2022_115,SDG 4
caadria2022_115,Architecture
caadria2022_115,Design Cognition
caadria2022_115,Design Networks
caadria2022_115,First Occurrence
caadria2022_115,Immersive Virtual Reality
caadria2022_115,Natural Language Processing
caadria2022_115,Studio
caadria2022_116,SDG 9
caadria2022_116,SDG 11
caadria2022_116,Form-Finding
caadria2022_116,Funicular
caadria2022_116,Meshes
caadria2022_116,Shells
caadria2022_118,SDG 13
caadria2022_118,Early Design Stages
caadria2022_118,Life Cycle Assessment
caadria2022_118,Sensitivity Analysis
caadria2022_118,Synergy Potential
caadria2022_118,Uncertainty Analysis
caadria2022_118,Urban Scale
caadria2022_120,SDG 3
caadria2022_120,SDG 11
caadria2022_120,Architectural Design
caadria2022_120,Attngan
caadria2022_120,Computer Vision
caadria2022_120,Generative Pre-trained Transformer 2
caadria2022_120,Human Computer Interaction
caadria2022_120,Natural Language Processing
caadria2022_120,Post-Carbon
caadria2022_120,Rhetoric and Writing
caadria2022_129,SDG 4
caadria2022_129,SDG 8
caadria2022_129,Augmented Reality
caadria2022_129,Digital Heritage
caadria2022_129,Digital Restoration
caadria2022_129,Lighting Design
caadria2022_129,Virtual And Real Worlds
caadria2022_129,Web System
caadria2022_130,SDG 11
caadria2022_130,Diagrammatic Floor Plan
caadria2022_130,Geometric Forms
caadria2022_130,L-System
caadria2022_130,Pattern Language
caadria2022_130,Turtle Graphics
caadria2022_139,SDG 10
caadria2022_139,SDG 11
caadria2022_139,Digital Participation
caadria2022_139,Latent Dirichlet Allocation Topic Modeling
caadria2022_139,Natural Language Processing
caadria2022_139,Qualitative Urban Data
caadria2022_139,Sentiment Analysis
caadria2022_139,Urban Design
caadria2022_140,SDG 11
caadria2022_140,Industrial Waterfront Regeneration
caadria2022_140,Machine Learning
caadria2022_140,Sustainable Cities
caadria2022_140,Urban Morphology
caadria2022_145,SDG 11
caadria2022_145,SDG 13
caadria2022_145,Computational Modeling
caadria2022_145,Digital Design
caadria2022_145,High-Rises
caadria2022_145,Machine Learning
caadria2022_145,Prediction and Evaluation
caadria2022_145,Simulation
caadria2022_148,SDG 8
caadria2022_148,SDG 9
caadria2022_148,Affordable On-Site Craft
caadria2022_148,Digital Fabrication
caadria2022_148,Real-Time Design to Fabrication
caadria2022_152,SDG 7
caadria2022_152,SDG 11
caadria2022_152,Building Energy Performance
caadria2022_152,Daylight Autonomy
caadria2022_152,Machine Learning
caadria2022_152,Synthetic Data-Sets
caadria2022_153,SDG 9
caadria2022_153,SDG 11
caadria2022_153,15-Minute City
caadria2022_153,Industry Innovation
caadria2022_153,Infrastructure
caadria2022_153,Spatial Analysis
caadria2022_153,Sustainable Cities
caadria2022_153,Sustainable Communities
caadria2022_153,Urban Accessibility
caadria2022_153,Urban Walkability
caadria2022_157,SDG 9
caadria2022_157,Low-Tech Construction
caadria2022_157,Mixed Reality
caadria2022_157,Non-Standard Architecture
caadria2022_157,Solar Decathlon Competition
caadria2022_166,SDG 8
caadria2022_166,SDG 9
caadria2022_166,Architectural Design
caadria2022_166,Artificial Intelligence
caadria2022_166,Autocompletion
caadria2022_166,Floor Plan
caadria2022_167,SDG 11
caadria2022_167,Data Mining
caadria2022_167,Pedestrian Sentiments
caadria2022_167,Street Level Imagery
caadria2022_167,Transformers
caadria2022_167,Transportation Behavior
caadria2022_167,Urban Sustainability
caadria2022_169,SDG 11
caadria2022_169,Building Performance Simulation
caadria2022_169,Decarbonisation
caadria2022_169,Parametric Design Generation
caadria2022_169,Renewable Energy
caadria2022_169,Urban Building Energy Modeling
caadria2022_169,Urban Sustainability
caadria2022_172,SDG 11
caadria2022_172,3D Computational Fluid Dynamics Prediction
caadria2022_172,3D U-Net
caadria2022_172,Machine Learning
caadria2022_172,Residual Block
caadria2022_172,Urban Microclimate
caadria2022_175,SDG 11
caadria2022_175,SDG 12
caadria2022_175,SDG 13
caadria2022_175,SDG 15
caadria2022_175,Augmented Construction
caadria2022_175,Bio-Material
caadria2022_175,Computational Design
